Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Prelu,Mul,NPU,84800,23.50645318667672,2343,0.5792551021669531,1500,2343,48,0,0,0,0.0,0.0,model_1/tf.__operators__.add_14/AddV2;model_1/tf.nn.relu_28/Relu;model_1/tf.math.negative_14/Neg;model_1/tf.nn.relu_29/Relu;model_1/tf.math.multiply_37/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_14/AddV2;model_1/tf.nn.relu_28/Relu;model_1/tf.math.negative_14/Neg;model_1/tf.nn.relu_29/Relu;model_1/tf.math.multiply_37/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,65824,18.246329888676986,5859,1.4485085973521885,3422,1582,5859,0,0,207900,0.5105822405792788,1.7326108870967742,model_1/tf.math.add_25/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_7/depthwise;Const_791
Prelu,Mul,NPU,60800,16.853683416862555,1500,0.37084193480598787,750,1500,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_15/AddV2;model_1/tf.nn.relu_30/Relu;model_1/tf.math.negative_15/Neg;model_1/tf.nn.relu_31/Relu;model_1/tf.math.multiply_39/Mul1_rescaled
Prelu,Mul,NPU,84800,23.50645318667672,2343,0.5792551021669531,1500,2343,48,0,0,0,0.0,0.0,model_1/tf.__operators__.add_15/AddV2;model_1/tf.nn.relu_30/Relu;model_1/tf.math.negative_15/Neg;model_1/tf.nn.relu_31/Relu;model_1/tf.math.multiply_39/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_15/AddV2;model_1/tf.nn.relu_30/Relu;model_1/tf.math.negative_15/Neg;model_1/tf.nn.relu_31/Relu;model_1/tf.math.multiply_39/Mul1
Conv2D,Conv2D,NPU,49600,13.749057524282609,5648,1.396343498522813,5648,1171,3124,0,0,2956800,7.261614088238631,25.562145892351275,model_1/tf.math.add_26/Add;model_1/tf.nn.convolution_14/convolution;Const_761
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_27/Add
Conv2D,Conv2D,NPU,27152,7.526500199583093,1562,0.386170068111302,989,828,1562,0,0,665600,1.6346490588242806,20.806658130601793,model_1/tf.math.add_28/Add;model_1/tf.nn.convolution_15/convolution;Const_741
Prelu,Mul,NPU,25600,7.0962877544684435,400,0.0988911826149301,200,400,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_16/AddV2;model_1/tf.nn.relu_32/Relu;model_1/tf.math.negative_16/Neg;model_1/tf.nn.relu_33/Relu;model_1/tf.math.multiply_43/Mul1_rescaled
Prelu,Mul,NPU,32000,8.870359693085554,625,0.15451747283582828,400,625,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_16/AddV2;model_1/tf.nn.relu_32/Relu;model_1/tf.math.negative_16/Neg;model_1/tf.nn.relu_33/Relu;model_1/tf.math.multiply_43/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_16/AddV2;model_1/tf.nn.relu_32/Relu;model_1/tf.math.negative_16/Neg;model_1/tf.nn.relu_33/Relu;model_1/tf.math.multiply_43/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,27120,7.517629839890008,1562,0.386170068111302,1209,429,1562,0,0,46800,0.11493626194858224,1.4629681498079385,model_1/tf.math.add_29/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_8/depthwise;Const_711
Prelu,Mul,NPU,25600,7.0962877544684435,400,0.0988911826149301,200,400,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_17/AddV2;model_1/tf.nn.relu_34/Relu;model_1/tf.math.negative_17/Neg;model_1/tf.nn.relu_35/Relu;model_1/tf.math.multiply_45/Mul1_rescaled
Prelu,Mul,NPU,32000,8.870359693085554,625,0.15451747283582828,400,625,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_17/AddV2;model_1/tf.nn.relu_34/Relu;model_1/tf.math.negative_17/Neg;model_1/tf.nn.relu_35/Relu;model_1/tf.math.multiply_45/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_17/AddV2;model_1/tf.nn.relu_34/Relu;model_1/tf.math.negative_17/Neg;model_1/tf.nn.relu_35/Relu;model_1/tf.math.multiply_45/Mul1
Conv2D,Conv2D,NPU,32000,8.870359693085554,4710,1.1644436752908018,4710,625,3124,0,0,665600,1.6346490588242806,6.900212314225053,model_1/tf.math.add_30/Add;model_1/tf.nn.convolution_16/convolution;Const_681
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_31/Add
Conv2D,Conv2D,NPU,19904,5.517363729099215,781,0.193085034055651,725,625,781,0,0,332800,0.8173245294121403,20.806658130601793,model_1/tf.math.add_32/Add;model_1/tf.nn.convolution_17/convolution;Const_661
Prelu,Mul,NPU,19200,5.322215815851333,200,0.04944559130746505,100,200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_18/AddV2;model_1/tf.nn.relu_36/Relu;model_1/tf.math.negative_18/Neg;model_1/tf.nn.relu_37/Relu;model_1/tf.math.multiply_49/Mul1_rescaled
Prelu,Mul,NPU,22400,6.209251785159888,312,0.07713512243964547,200,312,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_18/AddV2;model_1/tf.nn.relu_36/Relu;model_1/tf.math.negative_18/Neg;model_1/tf.nn.relu_37/Relu;model_1/tf.math.multiply_49/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_18/AddV2;model_1/tf.nn.relu_36/Relu;model_1/tf.math.negative_18/Neg;model_1/tf.nn.relu_37/Relu;model_1/tf.math.multiply_49/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,20064,5.561715527564643,897,0.22176347701398075,897,219,781,0,0,23400,0.05746813097429112,1.2737771739130435,model_1/tf.math.add_33/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_9/depthwise;Const_631
Prelu,Mul,NPU,19200,5.322215815851333,200,0.04944559130746505,100,200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_19/AddV2;model_1/tf.nn.relu_38/Relu;model_1/tf.math.negative_19/Neg;model_1/tf.nn.relu_39/Relu;model_1/tf.math.multiply_51/Mul1_rescaled
Prelu,Mul,NPU,22400,6.209251785159888,312,0.07713512243964547,200,312,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_19/AddV2;model_1/tf.nn.relu_38/Relu;model_1/tf.math.negative_19/Neg;model_1/tf.nn.relu_39/Relu;model_1/tf.math.multiply_51/Mul1
